model_id,split,category,nodes,median_mpa,peak_mpa
153,train,beam,29826,159.0,2706.6
163,train,block,37960,66.1,876.0
164,train,block,45142,55.7,573.6
165,train,block,19496,56.9,489.2
166,train,flat,35042,95.3,1316.8
169,train,flat,25268,61.6,870.1
170,train,block,25684,81.2,550.6
174,train,flat,15510,118.6,1351.1
186,train,block,31396,54.1,542.4
194,train,flat,29906,114.3,1080.1
195,train,flat,45561,56.0,608.0
197,train,flat,45654,54.0,620.0
198,train,flat,19336,64.5,653.9
199,train,flat,51796,73.0,602.3
200,train,flat,20218,77.5,961.0
202,train,arch,15967,105.4,778.3
204,train,flat,44232,389.9,5175.9
206,train,flat,21701,72.4,942.7
207,train,butterfly,38777,106.4,1154.4
208,train,flat,44354,70.3,718.5
209,train,block,32659,41.3,576.0
211,train,block,35123,51.4,532.2
225,train,flat,18190,76.0,1008.1
234,train,beam,42856,104.4,2352.7
235,train,flat,53439,91.5,1334.4
236,train,beam,15182,675.9,7835.4
237,train,block,47478,52.8,711.9
241,train,flat,25928,118.1,1145.8
242,train,flat,32522,113.1,2091.5
245,train,flat,107658,160.6,3260.2
248,train,block,16283,63.6,815.9
252,train,block,16219,61.8,817.8
254,train,block,31729,92.3,1213.0
255,train,flat,34659,96.4,1059.7
258,train,flat,51674,116.7,1057.5
259,train,block,51998,117.7,1084.8
266,train,butterfly,15576,236.0,1616.2
267,train,block,17283,94.8,793.5
268,train,flat,14850,121.4,2196.1
269,train,flat,52632,106.6,3127.7
275,train,block,53730,90.5,1320.2
285,train,arch,32692,80.1,854.4
289,train,flat,34582,45.5,501.7
290,train,flat,28879,44.2,527.1
291,train,flat,34922,51.7,821.5
295,train,beam,20263,138.1,2372.3
296,train,arch,50033,106.1,1278.9
302,train,flat,28135,80.5,1219.9
308,train,flat,49320,146.4,2949.5
309,train,flat,48201,149.7,2770.4
310,train,arch,24005,84.5,818.4
311,train,flat,23483,99.5,1175.2
312,train,arch,38226,136.6,1737.7
316,train,block,57489,142.1,1103.1
319,train,flat,34293,69.2,800.8
320,train,block,41087,73.3,838.2
322,train,butterfly,17104,120.3,1408.9
323,train,butterfly,19240,115.9,1318.7
324,train,arch,26495,89.1,928.5
329,train,block,20413,50.0,589.4
332,train,flat,70760,76.5,1299.2
335,train,block,31934,72.0,584.5
336,train,block,31934,71.8,579.3
337,train,butterfly,42820,103.1,1203.2
342,train,arch,45218,75.4,985.2
345,train,flat,34632,89.1,1466.1
348,train,flat,16442,52.4,498.8
351,train,flat,19987,116.3,1579.9
357,train,flat,35551,133.1,980.8
361,train,flat,31952,114.2,871.0
364,train,block,79513,109.3,976.8
366,train,flat,29997,76.2,1049.4
369,train,butterfly,23899,112.7,1506.7
373,train,arch,26002,151.8,3441.3
374,train,arch,11048,233.9,2159.9
375,train,arch,50685,81.6,736.7
377,train,flat,25401,39.9,526.5
379,train,flat,18050,142.6,837.6
380,train,block,64351,65.9,566.1
389,train,arch,81225,136.7,1877.2
390,train,arch,84336,136.9,1806.8
395,train,block,41031,95.0,673.4
398,train,butterfly,31487,268.1,4340.6
400,train,beam,40790,113.5,1417.7
403,train,block,26696,41.0,542.1
411,train,block,18917,39.9,437.5
415,train,arch,23143,175.1,766.5
419,train,block,83868,256.3,2556.6
420,train,other,36274,57.2,534.2
421,train,flat,16475,76.7,739.9
422,train,flat,17622,132.6,1369.4
424,train,block,40477,42.6,597.2
425,train,block,44852,100.7,958.7
427,train,flat,23583,191.0,2420.3
428,train,block,118959,62.4,600.5
433,train,flat,14704,78.2,1069.1
434,train,flat,28219,44.3,557.9
438,train,flat,26726,67.5,786.1
441,train,butterfly,30363,107.0,954.4
446,train,flat,39634,83.7,914.1
447,train,flat,21822,125.0,1045.1
449,train,block,24811,74.9,800.5
456,train,beam,19570,96.4,1098.9
460,train,flat,25046,105.2,1112.5
461,train,beam,57071,145.4,3611.9
462,train,beam,57160,144.0,3621.7
465,train,block,45994,120.7,880.9
466,train,flat,27441,125.2,1172.2
474,train,block,50682,51.0,557.9
475,train,block,46566,45.4,621.4
476,train,block,49602,46.7,555.5
482,train,flat,22118,132.7,1041.2
483,train,flat,22132,132.8,1024.2
484,train,flat,20193,113.7,983.7
485,train,block,33371,53.1,722.6
486,train,butterfly,35470,109.8,919.9
494,train,flat,17035,134.6,989.6
495,train,block,35524,105.2,652.3
496,train,butterfly,50839,152.1,2219.7
497,train,butterfly,40756,90.3,1182.8
498,train,butterfly,76153,216.5,1602.9
499,train,butterfly,39910,163.9,1249.1
500,train,arch,18884,188.1,1030.3
504,train,beam,11911,124.0,2312.8
506,train,beam,12155,131.8,1481.4
512,train,butterfly,37348,100.8,1174.0
513,train,butterfly,30336,101.7,1259.0
515,train,butterfly,47221,99.8,1186.2
517,train,flat,29607,108.0,1175.9
518,train,other,31486,152.0,1766.7
519,train,flat,28297,115.6,1033.4
520,train,flat,34037,107.9,2321.0
525,train,block,48748,44.3,505.4
527,train,block,50522,51.6,487.7
534,train,butterfly,14687,151.5,1302.4
535,train,block,20914,63.3,773.3
545,train,block,120174,135.2,1119.2
546,train,block,17482,110.9,627.7
547,train,block,69820,156.2,974.3
548,train,flat,69357,201.4,1275.1
550,train,block,110599,77.3,1079.4
551,train,flat,35537,153.7,1185.3
552,train,block,39295,105.9,1441.7
553,train,flat,24980,61.3,731.4
554,train,flat,60202,185.6,1151.0
556,train,beam,46224,128.9,1081.0
559,train,flat,28248,89.6,955.6
560,train,flat,43944,80.5,742.4
561,train,beam,53593,84.7,965.2
562,train,beam,57382,87.8,935.6
564,train,flat,17436,84.1,1015.7
565,train,flat,17093,79.4,1035.8
569,train,arch,40789,131.7,1877.5
570,train,flat,23623,95.4,1243.5
580,train,flat,32438,140.5,1677.0
586,train,butterfly,21655,100.1,1444.6
589,train,flat,28644,95.9,819.2
590,train,flat,63778,148.5,2208.8
592,train,block,80124,88.5,620.2
595,train,arch,46823,117.6,1011.7
597,train,arch,28644,95.9,819.0
606,train,flat,15346,106.5,1426.9
610,train,block,44103,120.4,833.7
611,train,beam,78941,286.6,4879.6
624,train,flat,29214,76.4,717.9
625,train,beam,79049,286.4,5278.0
628,train,arch,32423,121.9,1797.1
630,train,beam,24320,122.7,1107.3
631,train,beam,9065,173.6,1993.5
634,train,block,42405,42.7,636.6
0,val,block,42360,42.9,658.6
23,val,beam,19039,301.0,2709.1
34,val,beam,55026,176.4,1194.3
40,val,butterfly,12808,146.6,1448.1
62,val,arch,13301,123.7,1000.2
64,val,flat,23840,68.9,699.0
79,val,block,39610,73.3,787.9
108,val,butterfly,72149,117.2,967.7
149,val,flat,29503,108.7,1057.4
150,val,block,54692,114.7,1392.7
191,val,flat,31197,64.0,676.5
192,val,flat,31209,63.9,653.3
193,val,flat,56473,69.5,900.6
196,val,arch,26459,64.3,627.5
205,val,flat,20011,68.6,713.3
214,val,block,23238,50.3,620.1
228,val,arch,13179,84.3,781.9
238,val,block,37709,51.0,555.4
240,val,flat,17573,125.0,1565.8
246,val,flat,21131,406.2,7371.4
249,val,flat,17369,124.2,1084.5
256,val,butterfly,49464,80.9,681.0
257,val,butterfly,49113,81.5,719.2
279,val,beam,11319,155.2,1276.0
280,val,flat,22637,56.5,790.2
306,val,flat,54605,86.1,853.9
318,val,flat,27361,149.6,3370.4
325,val,block,56889,77.3,984.4
339,val,flat,14720,181.2,1531.7
365,val,butterfly,53009,112.2,2005.1
384,val,block,38938,47.6,660.2
393,val,flat,30676,136.0,1600.3
406,val,flat,39944,101.4,1755.2
417,val,arch,18037,65.3,801.1
432,val,flat,23134,66.9,785.4
437,val,block,21630,90.4,819.9
440,val,flat,12406,120.5,1314.3
454,val,arch,13683,84.6,765.4
472,val,beam,18171,153.8,1047.5
473,val,butterfly,23827,176.5,1395.5
533,val,beam,23999,187.5,1372.6
537,val,block,19589,45.0,605.0
538,val,block,19835,45.5,567.2
549,val,block,47811,101.5,881.9
576,val,arch,11892,178.3,1705.7
587,val,other,35247,308.7,4792.2
596,val,flat,40528,83.9,613.5
598,val,flat,25275,148.9,1770.2
623,val,beam,15686,248.7,2363.7
633,val,block,39735,190.8,4958.9
21,test,arch,15564,192.6,1006.5
29,test,butterfly,92602,140.4,1891.6
94,test,butterfly,30847,120.5,2087.7
95,test,beam,41960,153.1,743.6
120,test,arch,51383,77.0,535.6
134,test,flat,55352,123.5,1084.4
135,test,flat,54887,125.4,1077.1
136,test,block,77028,216.6,4807.7
138,test,beam,33327,107.7,1200.4
139,test,beam,33797,109.4,1818.8
167,test,block,33002,57.7,1054.5
171,test,flat,48257,73.7,908.7
173,test,flat,36282,75.9,869.2
181,test,block,32668,93.5,1066.4
182,test,block,34501,86.6,727.4
183,test,block,31257,79.8,754.1
187,test,butterfly,24510,92.4,926.9
220,test,block,79289,190.6,4239.8
221,test,other,28912,120.6,1526.4
229,test,flat,21455,138.3,1532.3
230,test,block,45524,69.2,1404.2
247,test,beam,25389,77.7,629.3
270,test,arch,64210,221.8,7061.8
321,test,block,24303,65.3,633.4
331,test,block,42264,42.6,635.7
371,test,flat,19664,96.2,1147.9
416,test,flat,21790,117.9,1449.9
418,test,flat,85332,326.8,5025.4
439,test,flat,34673,110.5,1177.9
448,test,beam,12269,143.5,1654.2
459,test,flat,19036,173.0,1462.9
464,test,arch,70148,114.8,1199.7
471,test,beam,23276,151.7,1520.5
479,test,butterfly,33249,153.9,1915.2
488,test,flat,31624,92.3,1589.5
489,test,flat,37586,97.1,1049.0
501,test,flat,21280,96.9,933.5
507,test,flat,17742,230.4,1643.2
510,test,block,51396,125.1,611.6
514,test,flat,15819,121.8,889.6
566,test,block,71162,151.8,680.1
571,test,butterfly,17609,137.0,1602.3
572,test,arch,39162,80.2,774.3
575,test,flat,44514,78.8,711.7
600,test,beam,54040,268.8,3708.3
605,test,butterfly,22483,195.5,3261.8
614,test,flat,19882,71.1,353.0
615,test,block,36872,95.2,2130.1
616,test,flat,21113,62.6,734.2
626,test,flat,18969,110.0,1302.5
