id,num_vertices,num_faces,volume,surface_area,average_edge_length,genus,max_ver_stress,max_hor_stress,max_dia_stress,max_tor_stress,category,num_tets,mass,download_file,link_name,author,author_id,test_split_0,test_split_1,test_split_2
79,39610,79240,172574.7425,102807.8558,1.720306259,6,787.9434,375.2846,760.9284,307.2901,block,284980,0.771409099,Bracket_Modified_FVZ.prt,ge-jet-engine-bracket-for-dmls-1,Fritz VZ,fritz.vz-1,FALSE,FALSE,FALSE
80,34049,68134,93297.62318,32859.04518,0.979089662,10,2047.418,1347.981,943.3354,789.9477,butterfly,417734,0.417040376,400a.stp,number400-1,Martin Dirker,martin.dirker,FALSE,FALSE,TRUE
81,33268,66572,93384.23587,32950.94822,0.985772289,10,1780.479,1205.093,916.0231,798.5527,butterfly,416004,0.417427534,400.stp,number400-1,Martin Dirker,martin.dirker,FALSE,FALSE,FALSE
82,97341,194834,109538.7194,65616.30048,0.838880752,39,2711.418,1748.93,1184.888,390.821,beam,1211060,0.489638076,GE-BRACKET-10-AJC.stp,ge-bracket-10-ajc-1,Andrew Coyne,andrew.coyne-1,FALSE,FALSE,FALSE
86,64534,129388,312680.3127,120743.8033,1.465331322,81,483.8012,269.0778,245.3218,325.2237,block,642162,1.397680998,concept1.igs,ge-jet-engine-bracket-34,riyosketch,riyosketch-1,FALSE,FALSE,TRUE
87,31281,62586,239658.153,66740.7768,1.530440223,7,879.9901,479.5972,471.3498,281.5208,flat,395743,1.071271944,GE jet engine bracket.SLDPRT,engine-bracket-for-ge-2,Leonardo Alves,leonardo.alves-1,FALSE,TRUE,FALSE
91,26248,52516,134717.9846,39195.81475,1.219866457,6,655.2886,514.4991,419.2048,405.1993,beam,368440,0.602189391,GE JEB 0000_15_5.STEP,elemental-design-1,EDISON PHOENIX,edison.phoenix,FALSE,FALSE,FALSE
92,17124,34268,374336.5558,52551.7543,1.861767915,6,513.6497,324.0308,300.0116,303.0572,flat,215973,1.673284404,bracket1.stp,engine-jet-bracket-1,praveen kumar,praveen.kumar-22,TRUE,FALSE,FALSE
94,30847,61714,94034.82451,29985.50051,0.951571188,6,2087.721,1872.396,864.632,468.9343,butterfly,374068,0.420335666,012.stp,ge-jet-engine-bracket-32,jaxon,jaxon-1,TRUE,FALSE,FALSE
95,41960,83984,134182.3819,42875.12563,1.015504592,17,743.5557,657.0261,672.7443,613.8535,beam,575194,0.599795247,GE jet engine bracket Proto 1.STEP,ge-jet-engine-bracket-proto-1-1,Eduardo Romo,eduardo.romo-1,FALSE,FALSE,FALSE
96,28250,56524,167682.1054,47998.30421,1.333990611,7,1394.086,1112.831,569.2162,410.7895,flat,356485,0.749539011,engine bracket version1.IGS,ge-jet-engine-bracket-33,bakini,bakini-2,FALSE,TRUE,FALSE
97,61246,122608,168726.0409,56654.29787,0.955819097,30,741.4283,853.3026,382.6891,467.9254,beam,808470,0.754205403,BRACKET#5#6#new.SLDPRT,elemental-design-2-1,Siddarth,siddarth,FALSE,FALSE,TRUE
98,63028,126172,169782.4207,57270.38363,0.949155347,30,722.8921,866.4918,396.6914,442.4305,beam,835000,0.75892742,BRACKET#5#6#29.SLDPRT,elemental-design-2-1,Siddarth,siddarth,TRUE,FALSE,FALSE
101,28483,56994,145593.2886,71414.61766,1.671103167,8,717.2394,600.2522,527.1879,358.3351,flat,288833,0.650802,generalelectric.stp,general-electric-jet-engine-bracket-1,Chris Dabek,chris.dabek,FALSE,FALSE,TRUE
102,54488,109792,108852.3335,61581.60787,1.070720805,205,1474.907,1865.747,724.1509,491.5602,flat,489373,0.486569931,ge brkt 5.STEP,ge-brkt-5-1,Brooks,brooks,FALSE,FALSE,FALSE
106,50866,101752,234930.7751,63497.10349,1.082182857,6,996.3485,554.5587,680.5646,474.3581,flat,868383,1.050140565,Bracket.stp,ge-bracket-6,Maierean Mircea,maierean.mircea-1,FALSE,FALSE,FALSE
107,18741,37502,285643.6944,47850.57115,1.690360548,6,592.324,349.2282,297.4729,316.9294,block,231319,1.276827314,jta-2.STEP,jta-2-bracket-1,julius,julius--2,FALSE,FALSE,TRUE
108,72149,144334,106016.5744,63828.99583,0.937140348,10,967.6602,620.5573,574.8652,454.401,butterfly,830260,0.473894088,Ride-II_X1.STEP,ride-ii-bracket-1,Lumas,lumas-1,TRUE,FALSE,FALSE
112,39536,79120,130219.2315,49577.3646,1.124633958,13,1267.235,1666.519,930.1992,396.929,block,498272,0.582079965,STAFFIVO-1.stp,get-brk-ivo-1-1,Ivo Alberti,ivo.alberti-3,FALSE,FALSE,TRUE
113,20830,41684,243903.1766,55831.89057,1.738332405,7,748.3798,482.8434,351.7932,304.8788,block,231495,1.0902472,52%  Adrian 1.stp,adrian-patterson-ge-entry-1,Adrian Patterson,adrian.patterson-1,TRUE,FALSE,FALSE
114,29063,58146,158666.433,47162.77772,1.304058292,6,1707.858,1101.314,733.7027,275.212,butterfly,363638,0.709238955,generalelectric_futuretechie.igs,generalelectric_futuretechie-1,Praveen Kumar,praveen.kumar,FALSE,TRUE,FALSE
115,15608,31236,177391.2336,41756.9017,1.729735818,6,965.1507,250.8073,950.2092,756.3696,flat,157926,0.792938814,original_stp.stp,jet-engine-bracket-9,Sivaraman,sivaraman,FALSE,FALSE,FALSE
116,17892,35824,177142.8243,46207.84565,1.678651935,11,1184.622,770.3575,488.3409,315.6531,flat,194912,0.791828425,model1.IGS,ge-jet-engine-bracket-28,grad,grad-1,FALSE,TRUE,FALSE
119,25545,51122,234602.141,67086.6533,1.716506648,9,803.2215,486.8904,437.6518,316.8724,block,290797,1.04867157,jet engine bracket.STEP,jet-engine-bracket-10,Mike Madsen,mike.madsen-1,TRUE,FALSE,FALSE
120,51383,102818,150628.9356,70460.02478,1.178554505,14,535.561,475.1161,530.1401,345.7274,arch,582373,0.673311342,GE JET BRACKET V_1.STEP,optimized-ge-jet-engine-bracket-design-v1-1,Arfi'an,arfi.an-1,TRUE,FALSE,FALSE
121,16193,32422,133303.2809,42478.08645,1.714124193,10,2194.478,1630.233,942.93,399.9958,beam,159462,0.595865666,model 2.igs,jet-engine-bracket-11,grad,grad-1,FALSE,FALSE,TRUE
122,42754,85528,135409.4071,38721.57634,0.938457179,6,921.2919,560.2567,453.8155,538.5402,arch,607588,0.60528005,GE jet engine bracket 6.STEP,ge-jet-engine-bracket-6-1,Voibor,voibor-1,TRUE,FALSE,FALSE
123,89267,178778,118886.2447,52468.76831,0.790712532,62,2046.373,1843.337,1166.299,553.4429,beam,1048878,0.531421514,Ge jet ingine bracket 0.537kg Bolat Mangibaev.stp,ge-jet-ingine-bracket-0-537kg-bolat-mangibaev-1,BOLAT MANGIBAEV,bolat.mangibaev-1,FALSE,TRUE,FALSE
124,47439,94906,96156.31253,74109.49208,1.253071772,8,1768.212,844.7499,1849.568,422.9363,block,419466,0.429818717,original after tuning 0.435kg.stp,original-bracket-after-tuning-0-435kg-1,BOLAT MANGIBAEV,bolat.mangibaev-1,FALSE,FALSE,FALSE
125,31037,62094,108175.3165,33859.03273,1.049084724,6,1450.117,940.7301,679.9722,612.9954,arch,431861,0.483543665,GE BRACKET-4.stp,ge-bracket-design-3,Girish.K.S,girish.k.s-1,FALSE,FALSE,FALSE
127,34901,69822,223620.7602,78212.13763,1.574412277,6,745.157,403.4543,369.034,323.0413,block,380468,0.999584798,v04_b.IGS,ge-jet-engine-bracket-challenge-12,Daniel Jaeger,daniel.jaeger,FALSE,TRUE,FALSE
129,19285,38602,144482.0097,47380.22413,1.638199009,9,1339.559,930.771,525.4788,329.0746,beam,211629,0.645834583,a279837B8p1l-Weight Reduction-rev01.SLDPRT,fog-bracket-1,Bol,bol,FALSE,TRUE,FALSE
130,11736,23492,60391.48982,22396.69109,1.396597735,6,4160.662,7758.195,5605.269,2773.757,beam,137020,0.269949959,MountV1.stp,mountv1-1,Alex Edson,alex.edson-1,FALSE,FALSE,FALSE
131,28940,57936,178798.2193,55817.92305,1.435101096,15,999.578,485.9839,558.0804,383.9031,block,348271,0.79922804,GE Bracket mod2 v9 GL.STEP,ge-jet-engine-bracket-22,Gavin Lee,gavin.lee-1,FALSE,TRUE,FALSE
133,41618,83216,137167.765,98679.4196,1.633603745,-4,964.197,639.194,598.2369,299.7714,block,344755,0.61313991,BRACKET V4.STEP,jet-engine-bracket-v4-1,Rodolfo Solorio,rodolfo.solorio-1,FALSE,FALSE,FALSE
134,55352,110736,141589.0536,46733.74738,0.918994704,9,1084.44,613.3947,522.5632,360.3917,flat,716255,0.63290307,GE-JET ENGINE BRACKET-RIC04.stp,ge-jet-engine-bracket-03-1,Richard,richard--78,FALSE,FALSE,FALSE
135,54887,109806,141578.539,46729.9933,0.925078587,9,1077.129,650.8244,538.0834,363.4545,flat,712802,0.632856069,GE-JET ENGINE BRACKET-RIC05.igs,ge-jet-engine-bracket-03-1,Richard,richard--78,FALSE,FALSE,TRUE
136,77028,154156,97114.31205,50727.51919,0.826617016,26,4807.684,2633.799,2354.14,738.0855,block,906038,0.434100975,Redesigned GE engine bracket XV-01c.STEP,ge-jet-engine-bracket-xv-01-1,Tan Wei Kok,tan.wei.kok-1,FALSE,FALSE,FALSE
138,33327,66686,159953.9947,55326.07423,1.305897371,9,1200.408,820.9127,577.8711,301.4489,beam,382730,0.714994356,GE jet engine bracket.sldprt,ge-jet-engine-bracket-v1-1,Andrew Smolkov,andrew.smolkov-1,FALSE,FALSE,FALSE
139,33797,67626,159943.9635,55327.69239,1.297423099,9,1818.773,887.9479,1659.296,671.25,beam,388639,0.714949517,bracket.IGS,ge-jet-engine-bracket-v1-1,Andrew Smolkov,andrew.smolkov-1,FALSE,FALSE,FALSE
140,32215,64462,278930.6504,63239.47407,1.464751035,9,754.3972,405.5645,435.5521,318.6643,block,388472,1.246820007,generalelectric Bracket SAS3.stp,ge-jet-engine-bracket-15,Sterry Shaffer,sterry.shaffer-1,FALSE,FALSE,FALSE
141,26479,53038,86267.87151,43117.99375,1.271547832,21,14901.76,11659.06,8667.862,1629.359,block,251932,0.385617386,bk2.SLDPRT,ge-jet-engine-bracket-17,Shannon,shannon,FALSE,FALSE,FALSE
142,196447,392966,193282.4728,131750.7179,0.830861276,19,784.1266,479.8749,444.3174,336.704,block,2051296,0.863972653,wspornik Ver7.stp,bracket-ge-ver7-1,Tomek F.,tomek.f,FALSE,FALSE,FALSE
146,43104,86244,217159.0089,53681.34161,1.097029607,10,715.1441,384.6516,379.8679,321.8281,arch,560470,0.97070077,Nosac.stp,jet-engine-bracket-5,Armin,armin-16,FALSE,TRUE,FALSE
147,28011,56102,122181.6569,43392.19261,1.309427184,21,1687.191,1291.375,921.4349,398.2295,flat,329782,0.546152006,BRACKET V1.STEP,optimization-jet-engine-bracket-v1-1,Rodolfo Solorio,rodolfo.solorio-1,TRUE,FALSE,FALSE
148,50994,102032,130190.5852,44242.25679,0.945181049,12,1719.315,1225.197,792.3448,364.2109,butterfly,640197,0.581951916,#4 Assy.stp,ge-engine-brkt-2,Rad Siderius,rad.siderius-1,TRUE,FALSE,FALSE
149,29503,59034,167159.1759,61368.03653,1.504203285,8,1057.441,948.7131,494.3711,325.6289,flat,311884,0.747201516,Bracket ge-ver5.stp,bracket-ge-ver5-1,Tomek F.,tomek.f,FALSE,TRUE,FALSE
150,54692,109404,116452.951,93746.74922,1.361468167,6,1392.706,546.2379,1544.471,488.7631,block,407103,0.520544691,1.5.stp,engine-bracket-2,rene j├╝rnaste,rene.jurnaste,FALSE,FALSE,TRUE
152,25365,50750,184638.8092,65503.18792,1.709594571,6,936.2598,690.1505,323.2787,297.9223,flat,253821,0.825335477,Bracket ge-ver3.stp,bracket-ge-ver3-1,Tomek F.,tomek.f,FALSE,TRUE,FALSE
153,29826,59692,122280.5099,41333.39911,1.19614188,11,2706.574,561.2271,2122.048,608.9232,beam,352346,0.546593879,Jet-Engine-bracket-v1.1.STEP,ge-jet-engine-bracket-v1-1-1,Igor Lins e Silva,igor.lins.e.silva,FALSE,FALSE,FALSE
163,37960,75940,275068.2684,87775.11674,1.6119838,6,875.9973,464.6818,441.574,313.0096,block,411180,1.22955516,Bracket.stp,ge-jet-engine-bracket-challenge-1,Martin Charette,martin.charette-1,TRUE,FALSE,FALSE
164,45142,90304,239976.9731,74410.68938,1.306057192,6,573.6404,407.4677,537.0444,314.4985,block,521418,1.07269707,GE Engine Brkt #1.stp,ge-engine-brkt-1,Rad Siderius,rad.siderius-1,FALSE,FALSE,FALSE
165,19496,39012,300934.2394,55933.02525,1.817600189,6,489.1932,235.4672,284.6144,284.5798,block,216751,1.34517605,engine-bracket.stp,ge-engine-bracket-1,Andy Brookman,andy.brookman-1,FALSE,TRUE,FALSE
166,35042,70104,192281.3899,50358.36639,1.214722119,6,1316.768,993.487,519.6666,402.7876,flat,419923,0.859497813,GE Engine Brkt #2.stp,ge-engine-brkt-2-1,Rad Siderius,rad.siderius-1,TRUE,FALSE,FALSE
167,33002,66024,236757.6678,83296.87062,1.647963432,6,1054.528,620.9818,838.7067,213.9356,block,368324,1.058306775,Redesign.STEP,ge-engine-mounting-bracket-1,Kevin Koch,kevin.koch-1,FALSE,TRUE,FALSE
169,25268,50556,224632.0625,67592.27631,1.738727547,6,870.0658,386.7826,499.797,290.6309,flat,270631,1.004105319,GE jet engine bracket challenge New Design.IGS,ge-jet-engine-bracket-challenge-2,Yohanes Harlieyanta,yohanes.harlieyanta-1,FALSE,FALSE,TRUE
170,25684,51428,227749.2692,64449.25599,1.693523008,16,550.5774,397.7744,554.0051,297.3457,block,275158,1.018039233,bracket.stp,bracket-4,Wellington,wellington-24,FALSE,FALSE,FALSE
171,48257,96534,188337.4532,74773.77677,1.243709963,6,908.6758,465.2333,503.2036,330.488,flat,680681,0.841868416,GE jet engine bracket.stp,ge-jet-engine-bracket-challenge-3,Thierry,thierry-19,TRUE,FALSE,FALSE
173,36282,72584,267388.8686,48861.06352,1.186027938,6,869.1556,474.8549,453.2543,390.9889,flat,520566,1.195228243,GEbracket.STEP,ge-jet-engine-bracket-challenge-4,Tom Martin,tom.martin,FALSE,FALSE,FALSE
174,15510,31040,180348.1239,47130.59742,1.863915799,6,1351.068,914.4973,561.5483,430.7037,flat,154504,0.806156114,bracket-2.stp,bracket-2-option-1,Wellington,wellington-24,FALSE,FALSE,TRUE
175,35940,71940,218265.3686,69348.949,1.418817145,16,5568.606,15868.92,15278.93,14156.68,flat,393532,0.975646197,Engine Mount.stp,engine-bracket-1,Bob Laws,bob.laws-1,FALSE,FALSE,FALSE
177,24021,48062,220926.7479,56721.2932,1.600680014,6,791.1677,393.4148,452.1701,294.4036,block,305330,0.987542563,bracket Ver1.stp,bracket-ge-ver1-1,Tomek F.,tomek.f,TRUE,FALSE,FALSE
180,31030,62080,325897.9783,73022.27685,1.598612177,6,300.9873,235.365,205.0631,288.7418,block,428120,1.456763963,bracket Ver1-assembling.stp,bracket-ge-ver1-1,Tomek F.,tomek.f,FALSE,TRUE,FALSE
181,32668,65384,158969.3155,75308.68333,1.583317154,13,1066.413,856.323,764.1282,603.136,block,316942,0.71059284,original.SLDPRT,ge-jet-engine-bracket-1,ahmed Elbahgy,ahmed.elbahgy-1,TRUE,FALSE,FALSE
182,34501,69054,235547.7923,58651.64863,1.358091982,14,727.3591,371.9882,606.8932,394.6154,block,442182,1.052898631,ZhichaoLi-GE-June142013.STEP,ge-engine-bracket-design-competition-1,ZHICHAO LI,zhichao.li-1,TRUE,FALSE,FALSE
183,31257,62566,235573.196,58663.62131,1.443250265,14,754.1191,375.8924,628.7989,329.3337,block,388794,1.053012186,ZLI-GE2-IGES-061413.IGS,ge-engine-bracket-design-competition-1,ZHICHAO LI,zhichao.li-1,FALSE,FALSE,TRUE
185,59297,118614,257073.4706,77388.30036,1.160800851,6,763.9496,457.7523,404.9621,319.9218,block,710557,1.149118414,wspornik Ver1-2-R.stp,bracket-ge-ver1-2-1,Tomek F.,tomek.f,FALSE,FALSE,FALSE
186,31396,62812,260240.5394,79983.98009,1.704525353,6,542.4459,326.6117,285.9823,298.5469,block,326129,1.163275211,wspornik Ver1-2.stp,bracket-ge-ver1-2-1,Tomek F.,tomek.f,FALSE,FALSE,FALSE
187,24510,49040,142786.2981,44218.43721,1.389217727,6,926.8854,620.9867,354.1698,401.0976,butterfly,284448,0.638254752,JetEngineBracket.stp,jet-engine-bracket-1,Ben Smeaton,ben.smeaton-2,FALSE,TRUE,FALSE
